Date,number,day,release_date,due_date,duration,period,instance
2020-07-24,65,5,5,20,5,2020-07-26,w2020-07-26-b21
2020-07-25,59,6,5,20,5,2020-07-26,w2020-07-26-b21
2018-12-17,14,1,5,20,5,2018-12-23,w2018-12-23-b4
2018-12-18,14,2,5,20,5,2018-12-23,w2018-12-23-b4
2018-12-19,13,3,5,20,5,2018-12-23,w2018-12-23-b4
2018-12-20,12,4,5,20,5,2018-12-23,w2018-12-23-b4
2018-12-21,13,5,5,20,5,2018-12-23,w2018-12-23-b4
2018-12-23,14,7,5,20,5,2018-12-23,w2018-12-23-b4
2018-12-17,28,1,5,20,5,2018-12-23,w2018-12-23-b8
2018-12-18,28,2,5,20,5,2018-12-23,w2018-12-23-b8
2018-12-19,26,3,5,20,5,2018-12-23,w2018-12-23-b8
2018-12-20,24,4,5,20,5,2018-12-23,w2018-12-23-b8
2018-12-21,25,5,5,20,5,2018-12-23,w2018-12-23-b8
2018-12-23,28,7,5,20,5,2018-12-23,w2018-12-23-b8
2018-12-17,72,1,5,20,5,2018-12-23,w2018-12-23-b21
2018-12-18,73,2,5,20,5,2018-12-23,w2018-12-23-b21
2018-12-19,66,3,5,20,5,2018-12-23,w2018-12-23-b21
2018-12-20,63,4,5,20,5,2018-12-23,w2018-12-23-b21
2018-12-21,64,5,5,20,5,2018-12-23,w2018-12-23-b21
2018-12-23,72,7,5,20,5,2018-12-23,w2018-12-23-b21
2021-03-22,12,1,5,20,5,2021-03-28,w2021-03-28-b4
2021-03-23,15,2,5,20,5,2021-03-28,w2021-03-28-b4
2021-03-24,14,3,5,20,5,2021-03-28,w2021-03-28-b4
2021-03-25,13,4,5,20,5,2021-03-28,w2021-03-28-b4
2021-03-26,14,5,5,20,5,2021-03-28,w2021-03-28-b4
2021-03-27,15,6,5,20,5,2021-03-28,w2021-03-28-b4
2021-03-22,24,1,5,20,5,2021-03-28,w2021-03-28-b8
2021-03-23,30,2,5,20,5,2021-03-28,w2021-03-28-b8
2021-03-24,27,3,5,20,5,2021-03-28,w2021-03-28-b8
2021-03-25,26,4,5,20,5,2021-03-28,w2021-03-28-b8
2021-03-26,28,5,5,20,5,2021-03-28,w2021-03-28-b8
2021-03-27,29,6,5,20,5,2021-03-28,w2021-03-28-b8
2021-03-22,62,1,5,20,5,2021-03-28,w2021-03-28-b21
2021-03-23,77,2,5,20,5,2021-03-28,w2021-03-28-b21
2021-03-24,69,3,5,20,5,2021-03-28,w2021-03-28-b21
2021-03-25,67,4,5,20,5,2021-03-28,w2021-03-28-b21
2021-03-26,73,5,5,20,5,2021-03-28,w2021-03-28-b21
2021-03-27,75,6,5,20,5,2021-03-28,w2021-03-28-b21
2020-03-16,15,1,5,20,5,2020-03-22,w2020-03-22-b4
2020-03-17,15,2,5,20,5,2020-03-22,w2020-03-22-b4
2020-03-18,14,3,5,20,5,2020-03-22,w2020-03-22-b4
2020-03-19,15,4,5,20,5,2020-03-22,w2020-03-22-b4
2020-03-20,13,5,5,20,5,2020-03-22,w2020-03-22-b4
2020-03-21,14,6,5,20,5,2020-03-22,w2020-03-22-b4
2020-03-16,29,1,5,20,5,2020-03-22,w2020-03-22-b8
2020-03-17,29,2,5,20,5,2020-03-22,w2020-03-22-b8
2020-03-18,28,3,5,20,5,2020-03-22,w2020-03-22-b8
2020-03-19,29,4,5,20,5,2020-03-22,w2020-03-22-b8
2020-03-20,26,5,5,20,5,2020-03-22,w2020-03-22-b8
2020-03-21,27,6,5,20,5,2020-03-22,w2020-03-22-b8
2020-03-16,75,1,5,20,5,2020-03-22,w2020-03-22-b21
2020-03-17,74,2,5,20,5,2020-03-22,w2020-03-22-b21
2020-03-18,72,3,5,20,5,2020-03-22,w2020-03-22-b21
2020-03-19,76,4,5,20,5,2020-03-22,w2020-03-22-b21
2020-03-20,67,5,5,20,5,2020-03-22,w2020-03-22-b21
2020-03-21,69,6,5,20,5,2020-03-22,w2020-03-22-b21
2020-12-28,14,1,5,20,5,2021-01-03,w2021-01-03-b4
2020-12-29,13,2,5,20,5,2021-01-03,w2021-01-03-b4
2020-12-30,14,3,5,20,5,2021-01-03,w2021-01-03-b4
2020-12-31,14,4,5,20,5,2021-01-03,w2021-01-03-b4
2021-01-01,14,5,5,20,5,2021-01-03,w2021-01-03-b4
2021-01-02,12,6,5,20,5,2021-01-03,w2021-01-03-b4
2020-12-28,28,1,5,20,5,2021-01-03,w2021-01-03-b8
2020-12-29,26,2,5,20,5,2021-01-03,w2021-01-03-b8
2020-12-30,27,3,5,20,5,2021-01-03,w2021-01-03-b8
2020-12-31,27,4,5,20,5,2021-01-03,w2021-01-03-b8
2021-01-01,27,5,5,20,5,2021-01-03,w2021-01-03-b8
2021-01-02,24,6,5,20,5,2021-01-03,w2021-01-03-b8
2020-12-28,71,1,5,20,5,2021-01-03,w2021-01-03-b21
2020-12-29,66,2,5,20,5,2021-01-03,w2021-01-03-b21
2020-12-30,70,3,5,20,5,2021-01-03,w2021-01-03-b21
2020-12-31,69,4,5,20,5,2021-01-03,w2021-01-03-b21
2021-01-01,70,5,5,20,5,2021-01-03,w2021-01-03-b21
2021-01-02,63,6,5,20,5,2021-01-03,w2021-01-03-b21
