manufacturing_orders.uid,manufacturing_orders.name,manufacturing_orders.release_date,manufacturing_orders.due_date,manufacturing_orders.max_cost,manufacturing_orders.problem_id
mo:2f52a319d0cf457790c011c7e39d32a7,mo009,635,685,,pb:6e918be12c0346669e26a09f5f1608da
mo:c464fc76253b43be855899ac575c2685,mo010,219,309,,pb:6e918be12c0346669e26a09f5f1608da
mo:771d2d5834604985a047914bce345619,mo011,15,95,,pb:6e918be12c0346669e26a09f5f1608da
mo:6c5783a8088a49308cce2e0bc2b79380,mo012,135,205,,pb:6e918be12c0346669e26a09f5f1608da
mo:1b1d2257d12446b8bd6dd2554f91a10a,mo013,553,603,,pb:6e918be12c0346669e26a09f5f1608da
mo:22ee1cdc7e71467c8cb66ac092cc1b12,mo014,307,357,,pb:6e918be12c0346669e26a09f5f1608da
mo:f8f8db16fa7149e98c75f3ccf38f8192,mo015,455,505,,pb:6e918be12c0346669e26a09f5f1608da
mo:29d5859c446b4f3690681e54bf9178d9,mo016,677,727,,pb:6e918be12c0346669e26a09f5f1608da
mo:bc5b2b22e3d2485eaffc5141f6bec703,mo017,449,539,,pb:6e918be12c0346669e26a09f5f1608da
mo:7dd4763690784b0486ec91a784fc546a,mo018,428,518,,pb:6e918be12c0346669e26a09f5f1608da
mo:91ad2f65b8b34524be3d8a9e544e2dc1,mo019,117,177,,pb:6e918be12c0346669e26a09f5f1608da
mo:ef38d9f121b1406aa192300947052e81,mo020,305,395,,pb:6e918be12c0346669e26a09f5f1608da
mo:2a95cd6996954edeb6ac3d46b5f766d8,mo021,233,303,,pb:6e918be12c0346669e26a09f5f1608da
mo:4ec50792dca74ff3a7a0beea9307b1e7,mo022,146,206,,pb:6e918be12c0346669e26a09f5f1608da
mo:bee3130617244875964beaf902b70282,mo023,146,196,,pb:6e918be12c0346669e26a09f5f1608da
mo:82c1d2434b3b4a49a7f9f6ebfe924ac7,mo024,149,219,,pb:6e918be12c0346669e26a09f5f1608da
mo:4fd48bae51d74bb19a3632f69a832e89,mo025,720,800,,pb:6e918be12c0346669e26a09f5f1608da
mo:0480fd0c275846e7a268686d7684f2d4,mo026,310,400,,pb:6e918be12c0346669e26a09f5f1608da
mo:03828c1e532f4c00ab6a22f81091df9f,mo027,210,290,,pb:6e918be12c0346669e26a09f5f1608da
mo:99dc71d9b17c448ea31f58a95e9cd85e,mo028,634,684,,pb:6e918be12c0346669e26a09f5f1608da
mo:c870d78919ec45069c99e7bfad7e74dc,mo029,217,267,,pb:6e918be12c0346669e26a09f5f1608da
mo:8c50432727b74d1d897d5c172136a563,mo030,495,575,,pb:6e918be12c0346669e26a09f5f1608da
mo:73ca78d1c2dd42129de18778f8ac2132,mo031,548,608,,pb:6e918be12c0346669e26a09f5f1608da
mo:03ec0404160643cabb503a2a945ee8b8,mo032,243,303,,pb:6e918be12c0346669e26a09f5f1608da
mo:44a8f9dba4ff4896a95076d3f4934ca2,mo033,360,430,,pb:6e918be12c0346669e26a09f5f1608da
mo:9c4e79941d794352894467e7d93368d6,mo034,257,347,,pb:6e918be12c0346669e26a09f5f1608da
mo:e544fab6bb484654b656546bf5ab7ee5,mo035,735,815,,pb:6e918be12c0346669e26a09f5f1608da
mo:bcb3673ae8124fff9ea171201d9e2bc5,mo036,189,279,,pb:6e918be12c0346669e26a09f5f1608da
mo:2161bff3990b42229a0f37f5c3514731,mo037,27,77,,pb:6e918be12c0346669e26a09f5f1608da
mo:c2ab1a635dca4171ac700d52d1098ef4,mo038,203,253,,pb:6e918be12c0346669e26a09f5f1608da
mo:0b050793cef9473581fc508e3d62a87b,mo039,497,567,,pb:6e918be12c0346669e26a09f5f1608da
mo:05fd772a183d41bfb41815b68e4d9d84,mo040,346,406,,pb:6e918be12c0346669e26a09f5f1608da
mo:47ce78ce67974564951fbdb45c75a588,mo041,465,515,,pb:6e918be12c0346669e26a09f5f1608da
mo:0e6793a1e89a498b8d55370609de8a86,mo042,449,519,,pb:6e918be12c0346669e26a09f5f1608da
mo:081eb8f24fa7498980d7fa8a12b12b1e,mo043,610,700,,pb:6e918be12c0346669e26a09f5f1608da
mo:1012c282a7984cbe8ce0eb2ffe542f0d,mo044,690,780,,pb:6e918be12c0346669e26a09f5f1608da
mo:0c5b86b5915147adb3760e1705a3225a,mo045,142,212,,pb:6e918be12c0346669e26a09f5f1608da
mo:33986fc3e7334e5f80fdd5f1302b950f,mo046,551,641,,pb:6e918be12c0346669e26a09f5f1608da
mo:3d94a975df4a4bcf996d0d0b699b3650,mo047,499,569,,pb:6e918be12c0346669e26a09f5f1608da
mo:787521eb714c40c6843e970ed83e8115,mo048,107,187,,pb:6e918be12c0346669e26a09f5f1608da
mo:3f4ee8981eca423c82642f929270fbee,mo049,276,346,,pb:6e918be12c0346669e26a09f5f1608da
mo:860388c6679e4288af3b6a2ba5ebb2a8,mo050,510,600,,pb:6e918be12c0346669e26a09f5f1608da
mo:f416cf184cec4c879c0d51b418d319a5,mo051,38,128,,pb:6e918be12c0346669e26a09f5f1608da
mo:a5db658026964382b155c93f16611446,mo052,333,383,,pb:6e918be12c0346669e26a09f5f1608da
mo:414a5f47006747a1911b22da89a9a863,mo053,289,359,,pb:6e918be12c0346669e26a09f5f1608da
mo:c9571e9c462a444f81fb2dc94acff12f,mo054,667,757,,pb:6e918be12c0346669e26a09f5f1608da
mo:57bfd90b588446d78360d94c1c1a8642,mo055,221,301,,pb:6e918be12c0346669e26a09f5f1608da
mo:e004b17fd2654253aeb17ad8ea632d1e,mo056,198,268,,pb:6e918be12c0346669e26a09f5f1608da
mo:4d2ad023f71f45fa9505c3f33f0dcae6,mo057,405,485,,pb:6e918be12c0346669e26a09f5f1608da
mo:1f8772164a8e4ed3b2620612aa4f8891,mo058,669,739,,pb:6e918be12c0346669e26a09f5f1608da
mo:482ad98c1d4d4b5780216fcf8a649599,mo059,419,499,,pb:6e918be12c0346669e26a09f5f1608da
mo:3454c72b8f754291b4533333ab4757ed,mo060,448,508,,pb:6e918be12c0346669e26a09f5f1608da
mo:8423e8649dbf46469f5cfb76772d5e30,mo061,26,96,,pb:6e918be12c0346669e26a09f5f1608da
mo:4b81b76175a84a3eb195e7e69f152e33,mo062,658,738,,pb:6e918be12c0346669e26a09f5f1608da
mo:4c4b1fbd553f484bb4fc193e670b29d6,mo063,701,761,,pb:6e918be12c0346669e26a09f5f1608da
mo:fe827dfa5f444a25927cd719c7155fa0,mo064,301,391,,pb:6e918be12c0346669e26a09f5f1608da
mo:fad873aa3689486f9e1165029b6538cb,mo065,630,720,,pb:6e918be12c0346669e26a09f5f1608da
mo:4d31531a3f17407689f861caa498106d,mo066,558,618,,pb:6e918be12c0346669e26a09f5f1608da
mo:9002e2172579478db8fe3fa504fab311,mo067,302,392,,pb:6e918be12c0346669e26a09f5f1608da
mo:3ccee4ddca9f4f32b89446b7a532b22f,mo068,429,509,,pb:6e918be12c0346669e26a09f5f1608da
mo:577ba264c2514c80893a3a0b1c35e922,mo069,24,104,,pb:6e918be12c0346669e26a09f5f1608da
mo:651023a4c2a3471e992418bd8d8d615a,mo070,299,359,,pb:6e918be12c0346669e26a09f5f1608da
mo:e6987bfef85f4859b3d417a4af0a4463,mo071,319,409,,pb:6e918be12c0346669e26a09f5f1608da
mo:7c24572984404970979b285608b633f3,mo072,216,266,,pb:6e918be12c0346669e26a09f5f1608da
mo:bcc64f35ba9741d1867e68b482ee9117,mo073,452,522,,pb:6e918be12c0346669e26a09f5f1608da
mo:5d3704e094064382beaf2f48aefad351,mo074,698,768,,pb:6e918be12c0346669e26a09f5f1608da
mo:5facaba9c87442cba5acef7dfd167a6e,mo075,409,469,,pb:6e918be12c0346669e26a09f5f1608da
mo:21a346b3380f4245971306e6c8eccce0,mo076,460,550,,pb:6e918be12c0346669e26a09f5f1608da
mo:44ca34825d314c3dad87a1ce889e9fb5,mo077,16,76,,pb:6e918be12c0346669e26a09f5f1608da
mo:6e87db1f867046bd914f87ef46511563,mo078,262,342,,pb:6e918be12c0346669e26a09f5f1608da
mo:cc27b4f89a844377b739394277a1ada0,mo079,336,426,,pb:6e918be12c0346669e26a09f5f1608da
mo:d637e38138ed46939d318e6fbe139be6,mo080,728,798,,pb:6e918be12c0346669e26a09f5f1608da
mo:38595229216d4f44a18af0cd085d90f9,mo081,589,649,,pb:6e918be12c0346669e26a09f5f1608da
mo:f69d8e2018304094b2b411532d716a22,mo082,465,525,,pb:6e918be12c0346669e26a09f5f1608da
mo:2f1a04d3622b4b02bdedadb749475da0,mo083,2,52,,pb:6e918be12c0346669e26a09f5f1608da
mo:2309f0ba79bf4d73b594a1a5f7966002,mo084,463,543,,pb:6e918be12c0346669e26a09f5f1608da
mo:1ff063e133054da1b84b9ef23ae2f987,mo085,24,104,,pb:6e918be12c0346669e26a09f5f1608da
mo:5628a21dd8aa42a1b66b104dbdd23e0f,mo086,236,306,,pb:6e918be12c0346669e26a09f5f1608da
mo:e20ec3e52f924b4f980444d12bf3c0fe,mo087,376,456,,pb:6e918be12c0346669e26a09f5f1608da
mo:f2b4aee5af3346888a2ee9badbcc2b22,mo088,663,723,,pb:6e918be12c0346669e26a09f5f1608da
mo:7fbd744622984024be806315cf1e7479,mo089,141,201,,pb:6e918be12c0346669e26a09f5f1608da
mo:1751f7a3234548e5a4c276903037a585,mo090,241,291,,pb:6e918be12c0346669e26a09f5f1608da
mo:d50063df0e70433eaf2478cf0cccf871,mo091,555,615,,pb:6e918be12c0346669e26a09f5f1608da
mo:1ebfffdfe46e4a5c826346be0b39d26d,mo092,167,227,,pb:6e918be12c0346669e26a09f5f1608da
mo:1e16b5c6b6c14283a086072cf2b96488,mo093,387,447,,pb:6e918be12c0346669e26a09f5f1608da
mo:7900d76705b14cae942aa92ef48e8b36,mo094,540,630,,pb:6e918be12c0346669e26a09f5f1608da
mo:ee76eabfa35e4df0b758376395d7833b,mo095,664,744,,pb:6e918be12c0346669e26a09f5f1608da
mo:217d01fb7f6b477da6a4b0aeb25167cf,mo096,221,291,,pb:6e918be12c0346669e26a09f5f1608da
mo:44b971ce44db4537a86d81d6145ac994,mo097,164,214,,pb:6e918be12c0346669e26a09f5f1608da
mo:f1a883d5884f40d8b5970cd44315a5c9,mo098,384,444,,pb:6e918be12c0346669e26a09f5f1608da
mo:7b157ea33b544e06ba060199920c82af,mo099,694,784,,pb:6e918be12c0346669e26a09f5f1608da
mo:cbf420353b7e4c52bfcd2f5d48a40fa9,mo100,259,319,,pb:6e918be12c0346669e26a09f5f1608da
mo:012a0bdcf4f64178aab4fa4b6908924e,mo001,315,365,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:44ec71c2d8e04631b4533e2a2e433630,mo002,697,787,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:3c3b091a18c442bdae66c733855b6943,mo003,657,737,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:d8f2743e456940e7a868b520e4046348,mo004,565,635,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:34ebfc2cbd02434abd9b511475065842,mo005,464,554,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:58b7831612fe40bd834355f55be0c241,mo006,0,90,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:f136b069defb4acf85cfb8668b2ecbbf,mo007,399,469,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:8499836392644c27b9115a546b949898,mo008,99,149,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:1030a583898844c1b6431d8e6d456d20,mo009,521,601,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:8f667b3af59249269880fa31cb235666,mo010,276,326,,pb:1c7362bf529a4728a2f2e2d1feb39227
mo:2a73b21f7fa3484fbace9ad0fddbb336,mo001,341,411,,pb:498c35d426014d4d86a891c57a229d7d
mo:a19234019da74a4883709a4fe4ed3709,mo002,209,259,,pb:498c35d426014d4d86a891c57a229d7d
mo:bc6904a5f0ee475a875d5c36bb3eb106,mo003,46,106,,pb:498c35d426014d4d86a891c57a229d7d
mo:c317ad14867d4eb09783a7d67a871cb0,mo004,672,752,,pb:498c35d426014d4d86a891c57a229d7d
mo:9ea1bda6420e414cbd027369c31caf50,mo005,612,682,,pb:498c35d426014d4d86a891c57a229d7d
mo:2f49563578b04ff89be74cdca56e4db9,mo006,95,185,,pb:498c35d426014d4d86a891c57a229d7d
mo:96a1c1d5e3514608bc7c35470b514d5f,mo007,712,792,,pb:498c35d426014d4d86a891c57a229d7d
mo:6d3d3d0feb4d4a8087d77151a8a07ca8,mo008,681,761,,pb:498c35d426014d4d86a891c57a229d7d
mo:38352b19e1de450aa9deea11f388a72f,mo009,303,363,,pb:498c35d426014d4d86a891c57a229d7d
mo:52893435dff74596a1e15d1146523462,mo010,191,271,,pb:498c35d426014d4d86a891c57a229d7d
mo:c550b9f1618b4ffe97aafc5409b6e58b,mo011,738,788,,pb:498c35d426014d4d86a891c57a229d7d
mo:9ee3803b29784443baa1d09ef6b71f41,mo012,165,245,,pb:498c35d426014d4d86a891c57a229d7d
mo:ea03a92d79ea4596b3259d88bb9b7c84,mo013,170,220,,pb:498c35d426014d4d86a891c57a229d7d
mo:ca8c870667ae4f29bb202541fe75b775,mo014,410,460,,pb:498c35d426014d4d86a891c57a229d7d
mo:590e9c9230ea4bbba342439048ce69bd,mo015,644,694,,pb:498c35d426014d4d86a891c57a229d7d
mo:8175987bed7148da9c2e0afe887d243a,mo016,473,543,,pb:498c35d426014d4d86a891c57a229d7d
mo:27a87886302246a5b01d200e1f1f6317,mo017,238,328,,pb:498c35d426014d4d86a891c57a229d7d
mo:84a697e31c864c9797ef76a929d75903,mo018,213,283,,pb:498c35d426014d4d86a891c57a229d7d
mo:65c07872d99d42e9bfda9f7a17e97aa9,mo019,294,374,,pb:498c35d426014d4d86a891c57a229d7d
mo:3e402407c83640b29fe97d3754cedb23,mo020,484,574,,pb:498c35d426014d4d86a891c57a229d7d
mo:251130cdfbfc40e1837e804b2ddc6f7e,mo021,595,675,,pb:498c35d426014d4d86a891c57a229d7d
mo:ebaf4cc165504343aefaf12be509aa9c,mo022,178,258,,pb:498c35d426014d4d86a891c57a229d7d
mo:e7be699ffed241b39bd85f6494237c83,mo023,364,454,,pb:498c35d426014d4d86a891c57a229d7d
mo:241201be1166443a9918d1df8c39a633,mo024,554,644,,pb:498c35d426014d4d86a891c57a229d7d
mo:442a27541e57494cb0bc36e12b260fc0,mo025,410,470,,pb:498c35d426014d4d86a891c57a229d7d
mo:2384a36970bd47bd97026f3252bb0246,mo026,26,96,,pb:498c35d426014d4d86a891c57a229d7d
mo:a5a654c2bf7342e09e30e4c5c8bf70ad,mo027,73,153,,pb:498c35d426014d4d86a891c57a229d7d
mo:c4c5b814fb2e4a9bac27f54be318fdfe,mo028,165,255,,pb:498c35d426014d4d86a891c57a229d7d
mo:8747d72739504c12909720720699956d,mo029,209,299,,pb:498c35d426014d4d86a891c57a229d7d
mo:9a2a5b22d1a44ccf85c6b0c937eaf408,mo030,421,491,,pb:498c35d426014d4d86a891c57a229d7d
mo:2a7172bc7dd74bda8531731ed91fc4b5,mo031,232,312,,pb:498c35d426014d4d86a891c57a229d7d
mo:1f3bb9de588647aa8ea1a50736d236a8,mo032,536,616,,pb:498c35d426014d4d86a891c57a229d7d
mo:e8105e81856d467eb71bf4534a33458b,mo033,611,661,,pb:498c35d426014d4d86a891c57a229d7d
mo:b77ef753b16c495cbb2a41f23527f57e,mo034,290,370,,pb:498c35d426014d4d86a891c57a229d7d
mo:e2cf2a55065d48dd8429a4dd76140f2b,mo035,596,686,,pb:498c35d426014d4d86a891c57a229d7d
mo:975d4ad62cdf4f99a39945ad25c4d395,mo036,571,631,,pb:498c35d426014d4d86a891c57a229d7d
mo:5df2ddbefb01461382951568178bbe7d,mo037,558,638,,pb:498c35d426014d4d86a891c57a229d7d
mo:7478e74444d54b5ab76ffe1fcaccd72d,mo038,47,97,,pb:498c35d426014d4d86a891c57a229d7d
mo:154a6842594d4722bbf05a68e8907b2d,mo039,50,140,,pb:498c35d426014d4d86a891c57a229d7d
mo:b12acfd50c06492b808caa86ad8a0f20,mo040,672,722,,pb:498c35d426014d4d86a891c57a229d7d
mo:5e3dcee2755846d395835694bb4f110a,mo041,712,802,,pb:498c35d426014d4d86a891c57a229d7d
mo:ff6598df039746b981b57570b8ef38b1,mo042,735,815,,pb:498c35d426014d4d86a891c57a229d7d
mo:98a9cd5aa8b149d6ace6f0016a0863cf,mo043,714,774,,pb:498c35d426014d4d86a891c57a229d7d
mo:790869df8c9c4f719aa0e1554ba7dd85,mo044,165,225,,pb:498c35d426014d4d86a891c57a229d7d
mo:7eef2c90dc4942cdb8f00bb1841da8ec,mo045,669,719,,pb:498c35d426014d4d86a891c57a229d7d
mo:e9b9448c17f14d5bbdcbd4edfa6d9955,mo046,280,340,,pb:498c35d426014d4d86a891c57a229d7d
mo:9be4de5fbf9142018ed2c799743d09cf,mo047,700,770,,pb:498c35d426014d4d86a891c57a229d7d
mo:c182675052fb4293b595402047890afb,mo048,735,815,,pb:498c35d426014d4d86a891c57a229d7d
mo:f51b7cb4c0d74d088c684c6aac4e8c99,mo049,48,98,,pb:498c35d426014d4d86a891c57a229d7d
mo:c142394a19ac4020a73df36c3c6ccb77,mo050,406,486,,pb:498c35d426014d4d86a891c57a229d7d
mo:ce9ec3967cc14a2b94c8027a7f0920c7,mo051,669,759,,pb:498c35d426014d4d86a891c57a229d7d
mo:b88eb5948dfc4791a0e7f7f42e4e28f8,mo052,259,339,,pb:498c35d426014d4d86a891c57a229d7d
mo:336afbf8a58e4b68aef493b7afa1f523,mo053,460,540,,pb:498c35d426014d4d86a891c57a229d7d
mo:472aea483a5a4731b5974bc7ba59dabe,mo054,539,609,,pb:498c35d426014d4d86a891c57a229d7d
mo:3f09d877e4f64dd1a3b6bf81e5e436eb,mo055,660,750,,pb:498c35d426014d4d86a891c57a229d7d
mo:2a1d046d548242ac89ebcf24cbb02922,mo056,604,674,,pb:498c35d426014d4d86a891c57a229d7d
mo:5aab0df56ee54751b36ef3c5ccaebdd6,mo057,379,429,,pb:498c35d426014d4d86a891c57a229d7d
mo:86bf97e8c0454b0e8692466b48060bcd,mo058,47,137,,pb:498c35d426014d4d86a891c57a229d7d
mo:7a1aff2afbb2413f804a5b4265da4bcc,mo059,3,63,,pb:498c35d426014d4d86a891c57a229d7d
mo:ec577d1ceb2448888b7178461b420528,mo060,473,553,,pb:498c35d426014d4d86a891c57a229d7d
mo:8a2e2fb03c964ad486e656c534feb0ec,mo061,80,160,,pb:498c35d426014d4d86a891c57a229d7d
mo:e3e470abe1eb4b6dadaceb1b2cba3baf,mo062,620,710,,pb:498c35d426014d4d86a891c57a229d7d
mo:62c25440291940998e0d3531c5ad3147,mo063,591,671,,pb:498c35d426014d4d86a891c57a229d7d
mo:e1272ba213804885a0402d1ffe111b34,mo064,510,560,,pb:498c35d426014d4d86a891c57a229d7d
mo:e475f23b12bc4bfa96344b10c2267912,mo065,151,201,,pb:498c35d426014d4d86a891c57a229d7d
mo:29f2cedceefe4c47bdd3da9d2788f334,mo066,637,727,,pb:498c35d426014d4d86a891c57a229d7d
mo:d09f01f4809549228432e07ec0ab2182,mo067,656,736,,pb:498c35d426014d4d86a891c57a229d7d
mo:cc9a13a2e43244ecaf6a22e3881f68c7,mo068,682,732,,pb:498c35d426014d4d86a891c57a229d7d
mo:bf332d487e54479f9b5c34bdac14f047,mo069,629,719,,pb:498c35d426014d4d86a891c57a229d7d
mo:a7326f6568a34bceba87b449ea0057f1,mo070,264,354,,pb:498c35d426014d4d86a891c57a229d7d
mo:03c7ea0bf36c45a797a0184ea206fe25,mo071,627,697,,pb:498c35d426014d4d86a891c57a229d7d
mo:968b1616644a45aa961906f81042b231,mo072,270,350,,pb:498c35d426014d4d86a891c57a229d7d
mo:8190a2b9df504dee8331adf5469971f9,mo073,461,551,,pb:498c35d426014d4d86a891c57a229d7d
mo:45cf6586ddc247dda64e809c2f13cb89,mo074,718,798,,pb:498c35d426014d4d86a891c57a229d7d
mo:9dd5e4df1d4c4895b4620fdc2a9ee09a,mo075,72,132,,pb:498c35d426014d4d86a891c57a229d7d
mo:1a03b0395cea428cb5ba70eb2bcd99e9,mo076,415,495,,pb:498c35d426014d4d86a891c57a229d7d
mo:7ddc6e57d6d046f2a6e9829ef5aceab2,mo077,616,666,,pb:498c35d426014d4d86a891c57a229d7d
mo:2b7ebfa9816e44c8a5b40044e2ce6ec4,mo078,7,97,,pb:498c35d426014d4d86a891c57a229d7d
mo:465b41e108444840a04c982a83ffb5fa,mo079,83,143,,pb:498c35d426014d4d86a891c57a229d7d
mo:20bb5195dd434115b9071afe4dc7817d,mo080,93,173,,pb:498c35d426014d4d86a891c57a229d7d
mo:8900ce9d5cb549de8326834d98f319ee,mo081,382,472,,pb:498c35d426014d4d86a891c57a229d7d
mo:d699f099cec94aa7ade4507d63ed4f2b,mo082,71,141,,pb:498c35d426014d4d86a891c57a229d7d
mo:04c613dd86f24cc89a1fce0c9eb3af1e,mo083,572,622,,pb:498c35d426014d4d86a891c57a229d7d
mo:5641e15cfa874e35a075ea7796bbbcbf,mo084,487,547,,pb:498c35d426014d4d86a891c57a229d7d
mo:f6ee3be72f39463382fe4dcf9321b4bc,mo085,621,701,,pb:498c35d426014d4d86a891c57a229d7d
mo:d2948effca25498682f672bf35b55e59,mo086,113,203,,pb:498c35d426014d4d86a891c57a229d7d
mo:dc4c2da73d08499f8a70f2e35d691743,mo087,547,607,,pb:498c35d426014d4d86a891c57a229d7d
mo:974480090bdc4fcebdd86c2cd8ae0184,mo088,523,573,,pb:498c35d426014d4d86a891c57a229d7d
mo:41e4f06e6fae445199fa2e9a839e4b4b,mo089,335,385,,pb:498c35d426014d4d86a891c57a229d7d
mo:4a189bc90c554b0c98b70c9f32799d1d,mo090,313,373,,pb:498c35d426014d4d86a891c57a229d7d
mo:9fa0994beeea44c9a2a8634e58e16221,mo091,343,393,,pb:498c35d426014d4d86a891c57a229d7d
mo:29f9fb86eee440478de9941620bd8238,mo092,628,718,,pb:498c35d426014d4d86a891c57a229d7d
mo:09338f8e29a94c15acd735609db4c5af,mo093,38,118,,pb:498c35d426014d4d86a891c57a229d7d
mo:763eb0a5db4a404e810ea72fcf08c8e3,mo094,179,239,,pb:498c35d426014d4d86a891c57a229d7d
mo:0938c4b551624c9eb13154401e61061d,mo095,241,321,,pb:498c35d426014d4d86a891c57a229d7d
mo:f3e93b92db5148af92a7c5f88bcde516,mo096,596,676,,pb:498c35d426014d4d86a891c57a229d7d
mo:737182902c2547e9aaf88bdbafc5d544,mo097,707,797,,pb:498c35d426014d4d86a891c57a229d7d
mo:43ad2a5ff729441081a4112df4eac449,mo098,91,151,,pb:498c35d426014d4d86a891c57a229d7d
mo:381d9e84adb54e33969bb9b15409b014,mo099,694,784,,pb:498c35d426014d4d86a891c57a229d7d
mo:75db66e7f5e44b9f9cab7243605b2b44,mo100,704,764,,pb:498c35d426014d4d86a891c57a229d7d
mo:465efc5b096144ad87e06768c7153997,mo001,119,199,,pb:6013e1b4029343b293da87e52b97c0d1
mo:c92e3a9234474f6a97c7fdbf8a749b29,mo002,22,72,,pb:6013e1b4029343b293da87e52b97c0d1
mo:56a45c7761154b399f0cf26055171feb,mo003,643,713,,pb:6013e1b4029343b293da87e52b97c0d1
mo:66e0499154e94fb380d8e46be5767c14,mo004,43,133,,pb:6013e1b4029343b293da87e52b97c0d1
mo:abd2c143ace6448e8b2eebcb59b1f500,mo005,688,768,,pb:6013e1b4029343b293da87e52b97c0d1
mo:b8ccb24cda694dab8b2fab593d0e11eb,mo006,605,685,,pb:6013e1b4029343b293da87e52b97c0d1
mo:6fc4667478054a91b23ab90ecb0f34ff,mo007,665,745,,pb:6013e1b4029343b293da87e52b97c0d1
mo:e21f82043cb74daaa5262f82d7cadfe0,mo008,382,462,,pb:6013e1b4029343b293da87e52b97c0d1
mo:2d9665f01669430a87b0bdc9fccdb12c,mo009,718,788,,pb:6013e1b4029343b293da87e52b97c0d1
mo:be35b1f4a2c644e3ae5f16f5d475223a,mo010,316,396,,pb:6013e1b4029343b293da87e52b97c0d1
mo:89497e742d1d41a8b149740e74de53eb,mo001,638,698,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:9ec913583fb54fa68a4924ad6a58a114,mo002,584,654,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:15c4d65754834b51a3c7841c6f27cf02,mo003,38,128,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:62b75c3cc3814ca0a060b265715b5663,mo004,210,260,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:a76b311871ee4bb0a678efaec31e224d,mo005,529,579,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:19e38e83ed5f40ffbe2f1971865a54f7,mo006,43,103,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:d8918b82f798499ea765906bcca001f9,mo007,619,699,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:f3fac291acec42c5aada457eb5b739c9,mo008,733,783,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:ad23c5bbead44a6890caf531ed187553,mo009,586,646,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:e9dbf7ae4e2246e99665e0615718f0b9,mo010,59,139,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:67371c49fb574f0fa1cd145102910b1b,mo011,445,525,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:cbc38c92fcf440e5982fa77a9548d91a,mo012,195,245,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:6ef9e1dea44c415aa405dbc272925b2f,mo013,553,643,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:663efaa2389143c2a225727924274db7,mo014,414,504,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:02259371c22946a78de5ddbaee856991,mo015,48,138,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:2fa137e0f91646c096a52a7980937b75,mo016,211,261,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:49c22b11931d4a0ab6472b63fc68d22e,mo017,708,758,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:599417c8329f4eba93fd4470de1e8ac8,mo018,314,384,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:1afdf28c04414234bec9589c44b7b426,mo019,138,198,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:da5eeddcc6204423aa12a8538348a493,mo020,172,252,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:24e1e057ad7b46cb8a7fb8bb6b84bb68,mo021,523,603,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:c7a6d1a8f4d547ef970b99200511986b,mo022,146,206,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:6e384ca6eb5a4d349a47740f6cf9f5da,mo023,498,568,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:9ad96b35de5a4b25a1b33e94eb3ec02d,mo024,674,764,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:e5f4ddeaaa0f41e7b989ed091a8c61eb,mo025,55,115,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:9b13e002fecd448aba3c26b9c3c6baff,mo026,679,759,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:47401399c9584cc0ba3105a8ef56a2d1,mo027,440,520,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:46e0d2af1560476f8d49e1d3824ec4eb,mo028,357,447,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:70b12a0485974070b445b0975ce5e98a,mo029,118,168,,pb:182247f67fb54c7ba06dc9470fbafbdb
mo:3aa6672975944f1ebe2e86b415e0f959,mo030,148,218,,pb:182247f67fb54c7ba06dc9470fbafbdb
