devices.uid,devices.name,devices.risk_threshold,devices.repair_time,devices.use_duration,devices.repair_skill,devices.json_law,devices.machine_id,devices.phm_module_id
dev:2d332e39951049dca8676ee7b0c29d83,Dv3,0.01,5.0,12.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 101.94535191507065, ""scale"": 2.0}}",ma:840898b2a7c44ce686990ffe164d31c7,phm:2d838c2e8d02450ca254e3822b8898f6
dev:ec4f441320594ecc81221622e92ac302,Dv4,0.01,5.0,113.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:840898b2a7c44ce686990ffe164d31c7,phm:2d838c2e8d02450ca254e3822b8898f6
dev:1cd12354a5ad46619b2507102c3f7eea,Dv1,0.01,5.0,97.5,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:99a5bbb6898e4f70a94df0a13d0da424,phm:2d838c2e8d02450ca254e3822b8898f6
dev:2d8ffc0092c24c0a892fc4c5a9acb03a,Dv2,0.01,5.0,97.5,R2,"{""name"": ""norm"", ""params"": {""loc"": 100.19977176394062, ""scale"": 2.0}}",ma:99a5bbb6898e4f70a94df0a13d0da424,phm:2d838c2e8d02450ca254e3822b8898f6
dev:b67f7d2f6dfd42c69e9e0b8f2d5b8f84,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:99a5bbb6898e4f70a94df0a13d0da424,phm:2d838c2e8d02450ca254e3822b8898f6
dev:82b3b7c46da34694bb75160dd9420a89,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 87.82603470693417, ""scale"": 2.0}}",ma:99a5bbb6898e4f70a94df0a13d0da424,phm:2d838c2e8d02450ca254e3822b8898f6
dev:f8a1980aaaa149859a2d2fb8ab2829bd,Dv1,0.01,5.0,160.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:d0e93eb43dad4c29b6168a428d673af6,phm:2d838c2e8d02450ca254e3822b8898f6
dev:010dd6fd63994644ba1e388a17e709cc,Dv2,0.01,5.0,31.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 117.98440090154435, ""scale"": 2.0}}",ma:d0e93eb43dad4c29b6168a428d673af6,phm:2d838c2e8d02450ca254e3822b8898f6
dev:9980aef0d74f45c3b6811f9c98f31cc4,Dv3,0.01,5.0,39.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:d0e93eb43dad4c29b6168a428d673af6,phm:2d838c2e8d02450ca254e3822b8898f6
dev:87362e33924b4af091f0607f028aa3e1,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 92.91210402690835, ""scale"": 2.0}}",ma:8ebef12ec93a4b4ebaa6bedbe948be7e,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:8d17ae903b6b4ae6be7ddc8eea62aca6,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:8ebef12ec93a4b4ebaa6bedbe948be7e,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:5ab0ca1b840b4ff68113c8ffdccce5c3,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 101.82251444255905, ""scale"": 2.0}}",ma:8ebef12ec93a4b4ebaa6bedbe948be7e,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:cbd9d9bf2d8b4d82b569635636252d9e,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:8ebef12ec93a4b4ebaa6bedbe948be7e,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:82226089fd16402cb89977d05973397c,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:4746aaf0ae5a467ab22e5cfdd94cc875,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:d97e6eee07f24efb8e0ee1547425e4e6,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 94.43017977626016, ""scale"": 2.0}}",ma:4746aaf0ae5a467ab22e5cfdd94cc875,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:19cce1f2229b4727bbc449c653bfb79d,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:4746aaf0ae5a467ab22e5cfdd94cc875,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:18630435d1804f619ffb8d32d447d508,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 107.26097830880175, ""scale"": 2.0}}",ma:4746aaf0ae5a467ab22e5cfdd94cc875,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:fe627ac476944557af2e78daff7acd0b,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:5fc7ab16a3be4e959c01bdf2de829cfb,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:cf4b73b2803642d296e0d12ca07cf17e,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 94.58826584843014, ""scale"": 2.0}}",ma:5fc7ab16a3be4e959c01bdf2de829cfb,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:eacc965fea9c4f61b87331afe407f58c,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:5fc7ab16a3be4e959c01bdf2de829cfb,phm:ba5a3f37ae1b4f83855a246f3ec7da77
dev:24091f6da4d249ffa6fed4817f89bcd8,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 116.3357520571526, ""scale"": 2.0}}",ma:1dc3dd9c7af24e4d8364f2cf0d14cffb,phm:21909bba28434f5092dedb2c23ef44d0
dev:7c22f2bb89ce4ef387574487c2a924ed,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:1dc3dd9c7af24e4d8364f2cf0d14cffb,phm:21909bba28434f5092dedb2c23ef44d0
dev:eaf0a270169d4ac79d06b28c4b4a2d93,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 101.95484121607709, ""scale"": 2.0}}",ma:1dc3dd9c7af24e4d8364f2cf0d14cffb,phm:21909bba28434f5092dedb2c23ef44d0
dev:63c7b36603de4b5ab0efea0f336f4afc,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:1dc3dd9c7af24e4d8364f2cf0d14cffb,phm:21909bba28434f5092dedb2c23ef44d0
dev:e283d839cace45e7afb9e24ac6ef3b43,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:834e751bbfeb4c4ba1b5399942b63fd6,phm:21909bba28434f5092dedb2c23ef44d0
dev:264a4d13e68b4f2fa4266efa78093c4c,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 101.22801563496289, ""scale"": 2.0}}",ma:834e751bbfeb4c4ba1b5399942b63fd6,phm:21909bba28434f5092dedb2c23ef44d0
dev:6ce532c3450b4d97a1e478306c2313b4,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:834e751bbfeb4c4ba1b5399942b63fd6,phm:21909bba28434f5092dedb2c23ef44d0
dev:db099cb6ce504816b15bb2d0ed1183bf,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 104.18569282246446, ""scale"": 2.0}}",ma:834e751bbfeb4c4ba1b5399942b63fd6,phm:21909bba28434f5092dedb2c23ef44d0
dev:18d8edc491454c9488336b419cdb1520,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:50e4a6c29fbe42cd99cf31a5373e2846,phm:21909bba28434f5092dedb2c23ef44d0
dev:08582f97f518418fb23cd4ca1003fe84,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 96.46543956172722, ""scale"": 2.0}}",ma:50e4a6c29fbe42cd99cf31a5373e2846,phm:21909bba28434f5092dedb2c23ef44d0
dev:8f5a570eceeb4c90b790dc6d42ffb62b,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:50e4a6c29fbe42cd99cf31a5373e2846,phm:21909bba28434f5092dedb2c23ef44d0
dev:f6c7741543964fbc828764c2e2a3071d,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 77.11994933789262, ""scale"": 2.0}}",ma:62e319c541e24586bdc4760232212ab6,phm:90e07e991b74434886b2bdeea325c705
dev:5d0862f92e4443fc9f7c90b9a2fc81f7,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:62e319c541e24586bdc4760232212ab6,phm:90e07e991b74434886b2bdeea325c705
dev:403a86f1f68b4b81bcab74bce26a0f98,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100.60669266872303, ""scale"": 2.0}}",ma:62e319c541e24586bdc4760232212ab6,phm:90e07e991b74434886b2bdeea325c705
dev:90119f61036940cfb252811ff18012bd,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:62e319c541e24586bdc4760232212ab6,phm:90e07e991b74434886b2bdeea325c705
dev:ebc18b06095a4f8cb92a4354349b5d21,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:f4725cf9356d4521ba2adbc8f0a303b7,phm:90e07e991b74434886b2bdeea325c705
dev:65172cf7810647098dc92e565dbb9998,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 102.90687667959222, ""scale"": 2.0}}",ma:f4725cf9356d4521ba2adbc8f0a303b7,phm:90e07e991b74434886b2bdeea325c705
dev:6b5b222d5be3461bac3fda5a848ece81,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:f4725cf9356d4521ba2adbc8f0a303b7,phm:90e07e991b74434886b2bdeea325c705
dev:b28f6b139247455fa6f2abb43d0d6587,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 91.86061456813013, ""scale"": 2.0}}",ma:f4725cf9356d4521ba2adbc8f0a303b7,phm:90e07e991b74434886b2bdeea325c705
dev:1d184693a09d4e4fb1f82e469be5ac09,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:84c62e8f53ab481d89cd1501deec4ac3,phm:90e07e991b74434886b2bdeea325c705
dev:d561af1ed46f424599bfa4deb7c186a0,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 97.49085319113412, ""scale"": 2.0}}",ma:84c62e8f53ab481d89cd1501deec4ac3,phm:90e07e991b74434886b2bdeea325c705
dev:25d400d4941b408b9635823bdf662f7c,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:84c62e8f53ab481d89cd1501deec4ac3,phm:90e07e991b74434886b2bdeea325c705
dev:7993faaea4b3498e89e845c988d212f1,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 93.68618633289164, ""scale"": 2.0}}",ma:c48d4876bf6a40adb179c33ec91c6176,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:c00eb0512efc481d9ddae36779d7e736,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:c48d4876bf6a40adb179c33ec91c6176,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:b771ec8707794be78717b3972b85489c,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 115.12743524184773, ""scale"": 2.0}}",ma:c48d4876bf6a40adb179c33ec91c6176,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:9125117aaccc4ccc8b2ab9eb84c6e9cd,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:c48d4876bf6a40adb179c33ec91c6176,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:245d5d20e45b42b3b4387d104ef84b60,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:559384f8346b4d198f7cc5e53d57285a,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:8218026ae2d54b1d91c593dd3fca0901,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 111.05163239513928, ""scale"": 2.0}}",ma:559384f8346b4d198f7cc5e53d57285a,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:c069395f3d7b4708b9cf88047f7aa562,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:559384f8346b4d198f7cc5e53d57285a,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:b73b16811d6741e7959f30f35ecfad4a,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 99.16016089882379, ""scale"": 2.0}}",ma:559384f8346b4d198f7cc5e53d57285a,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:83738c919dd2491c95401460cbe5a1c7,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:16420debfc2d44cc99f787bf1e5f76c5,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:3bb00bfbaddb44eaaf8ade42fd80ba44,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 88.47775571220257, ""scale"": 2.0}}",ma:16420debfc2d44cc99f787bf1e5f76c5,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:f92019c2f0714c30bc26375e95827e87,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:16420debfc2d44cc99f787bf1e5f76c5,phm:3702cf2524e84c7688e2a64cfc6a7b42
dev:a130e75a98a54e94b4549b8107dd4202,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 101.03568622112088, ""scale"": 2.0}}",ma:7e88a266d41749d8bd6ef91cbcc1b150,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:35d4938bae50424fb5023f084b217f12,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:7e88a266d41749d8bd6ef91cbcc1b150,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:3581c1d48a6449a6abe6abe4facecb37,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 78.84472187279235, ""scale"": 2.0}}",ma:7e88a266d41749d8bd6ef91cbcc1b150,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:714b7e898a7c4e4d86a5a576b57a2c3c,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:7e88a266d41749d8bd6ef91cbcc1b150,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:ece6c5cafe034116b21b5585c5ecdb87,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:8328c6074c1b42d8b236159ffdf654d9,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:cae523654bb14263bd6446280ef42c1e,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 97.00240577737704, ""scale"": 2.0}}",ma:8328c6074c1b42d8b236159ffdf654d9,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:e28b1920f5a242da9b67e5f948c770e4,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:8328c6074c1b42d8b236159ffdf654d9,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:33c8409a365e40e980f41fdf0fb264f8,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 112.95919240614104, ""scale"": 2.0}}",ma:8328c6074c1b42d8b236159ffdf654d9,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:7b61a03013bb49228d857ae466b0784c,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:68e89c48a9bf4930a1e110cffccfc711,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:0dbce4c80a0c4959a2c0255619bb9909,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 95.26690840328227, ""scale"": 2.0}}",ma:68e89c48a9bf4930a1e110cffccfc711,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:e49ca6b3a3ee412f8c456302fd414f72,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:68e89c48a9bf4930a1e110cffccfc711,phm:275744fd8aa24f9b95713d79e2bbefbb
dev:82b98b5fc9e74363b63bd6acab25e3b9,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 103.44705061813447, ""scale"": 2.0}}",ma:ca449dbaf1aa4f918d3e72ab1ca61f2b,phm:dfc381b6befd4feca64cce95eeb1861e
dev:8f6f7fb42f154f3c8f5c11a78063c1df,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:ca449dbaf1aa4f918d3e72ab1ca61f2b,phm:dfc381b6befd4feca64cce95eeb1861e
dev:ec5b2be0a98c4ed4a344541632c175ea,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 111.84640638949078, ""scale"": 2.0}}",ma:ca449dbaf1aa4f918d3e72ab1ca61f2b,phm:dfc381b6befd4feca64cce95eeb1861e
dev:f20d946db66544a7bf70862f597f729d,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:ca449dbaf1aa4f918d3e72ab1ca61f2b,phm:dfc381b6befd4feca64cce95eeb1861e
dev:202cfdc1699d42749c7ed97ae75f2802,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:506b444a273d4a2d8fc00a6beafd7cbd,phm:dfc381b6befd4feca64cce95eeb1861e
dev:9ceb663ff74c4c03a22b25edd652ceeb,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 102.90270510408237, ""scale"": 2.0}}",ma:506b444a273d4a2d8fc00a6beafd7cbd,phm:dfc381b6befd4feca64cce95eeb1861e
dev:5f7ee156ad524c91b3a154acb28f7739,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:506b444a273d4a2d8fc00a6beafd7cbd,phm:dfc381b6befd4feca64cce95eeb1861e
dev:30d9a5ad3ac648a6a01058186bc014e3,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 89.02856455033037, ""scale"": 2.0}}",ma:506b444a273d4a2d8fc00a6beafd7cbd,phm:dfc381b6befd4feca64cce95eeb1861e
dev:865e595afb114811807037a437fb291e,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:1630d586f3d749abb648d9a408e50172,phm:dfc381b6befd4feca64cce95eeb1861e
dev:69f08e0a3a8943c483e7e242e8cd80ba,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 95.10173766094704, ""scale"": 2.0}}",ma:1630d586f3d749abb648d9a408e50172,phm:dfc381b6befd4feca64cce95eeb1861e
dev:d61efdce01d74a1cac2c36ce418f2fdc,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:1630d586f3d749abb648d9a408e50172,phm:dfc381b6befd4feca64cce95eeb1861e
dev:6349fcd2ac6e4f9990f3d319c7dab964,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 107.996310326545, ""scale"": 2.0}}",ma:b26a3bfee7f94a379b9056049639799e,phm:8ab3321f645d4548a28a26beb81c344c
dev:4527eca1b6d24a3d82c96f705f4034bd,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:b26a3bfee7f94a379b9056049639799e,phm:8ab3321f645d4548a28a26beb81c344c
dev:e5bf382cfa7a40b38f919310c7eb501c,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 117.07645423980998, ""scale"": 2.0}}",ma:b26a3bfee7f94a379b9056049639799e,phm:8ab3321f645d4548a28a26beb81c344c
dev:8e38fc28cf8c485aabf15ecc80bcc597,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:b26a3bfee7f94a379b9056049639799e,phm:8ab3321f645d4548a28a26beb81c344c
dev:17b3bb8aeab940efaa7197a4a1b60fa3,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:0ca1271fbbe145249b83591f8a6b03ca,phm:8ab3321f645d4548a28a26beb81c344c
dev:792a57ae84414b2db1885f05f6b485fe,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 115.5671401583279, ""scale"": 2.0}}",ma:0ca1271fbbe145249b83591f8a6b03ca,phm:8ab3321f645d4548a28a26beb81c344c
dev:4e402fb4c69b4c19b1761c32e05f355b,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:0ca1271fbbe145249b83591f8a6b03ca,phm:8ab3321f645d4548a28a26beb81c344c
dev:0667e43284054a73a285abb3fc1267b0,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 101.4647334993007, ""scale"": 2.0}}",ma:0ca1271fbbe145249b83591f8a6b03ca,phm:8ab3321f645d4548a28a26beb81c344c
dev:c33dbfb98f724e07863777b7eeb53c60,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:0fe764cb83434ddfb207f480d060f6cb,phm:8ab3321f645d4548a28a26beb81c344c
dev:8eef1f8ae2cf4fcaa4ba8f4b3b7484f4,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 94.70088152545864, ""scale"": 2.0}}",ma:0fe764cb83434ddfb207f480d060f6cb,phm:8ab3321f645d4548a28a26beb81c344c
dev:561ea32750634fb2b523b9def1897c7a,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:0fe764cb83434ddfb207f480d060f6cb,phm:8ab3321f645d4548a28a26beb81c344c
dev:76a4b57616da4548b9f14483f5a47a7b,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100.65628607441298, ""scale"": 2.0}}",ma:092e874988cb455bb92e5a68f2648663,phm:8b4be223adca49c485954ab864c56e55
dev:1d3d9f8b9c194a4fafbe0a906759db0e,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:092e874988cb455bb92e5a68f2648663,phm:8b4be223adca49c485954ab864c56e55
dev:37bcd62dadd34fdd97f3565147dfd76a,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 106.92668368208437, ""scale"": 2.0}}",ma:092e874988cb455bb92e5a68f2648663,phm:8b4be223adca49c485954ab864c56e55
dev:c24f5a42f8ec4ab79567501c0a462b6f,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:092e874988cb455bb92e5a68f2648663,phm:8b4be223adca49c485954ab864c56e55
dev:6df1c3a71fe6420b9edeef5559832573,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:4b04c602cce04b7591271492e7b5525b,phm:8b4be223adca49c485954ab864c56e55
dev:a42bb995f09c4008bdbaab35a4f51064,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 105.23860622474481, ""scale"": 2.0}}",ma:4b04c602cce04b7591271492e7b5525b,phm:8b4be223adca49c485954ab864c56e55
dev:786ecb365ed54203bb9653e3bfd44aec,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:4b04c602cce04b7591271492e7b5525b,phm:8b4be223adca49c485954ab864c56e55
dev:de34aa57721f4a15b8719737df5a0af7,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 93.23621617718244, ""scale"": 2.0}}",ma:4b04c602cce04b7591271492e7b5525b,phm:8b4be223adca49c485954ab864c56e55
dev:6421e6c5719948ba8d3dc04d62c1b393,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:923b0f68798344549ec938964081839b,phm:8b4be223adca49c485954ab864c56e55
dev:3bad785e9cfe463eb1b5ec3d68b0228d,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100.35947821013276, ""scale"": 2.0}}",ma:923b0f68798344549ec938964081839b,phm:8b4be223adca49c485954ab864c56e55
dev:d6ecdde8b43842bda63bd5713cfca380,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:923b0f68798344549ec938964081839b,phm:8b4be223adca49c485954ab864c56e55
dev:08da3579e2a34117bea2724a1b4e8bca,Dv1,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 103.40924412091552, ""scale"": 2.0}}",ma:3cd572a6b42a4e32b625f57c9ff482c5,phm:37ee80f6fff44af2b867a0a857895ed0
dev:d18b3bbaa5e14675976329aee53e8f68,Dv2,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:3cd572a6b42a4e32b625f57c9ff482c5,phm:37ee80f6fff44af2b867a0a857895ed0
dev:9dce71634f2140d8bb9228e897d9bb81,Dv3,0.01,5.0,0.0,R1,"{""name"": ""norm"", ""params"": {""loc"": 91.68686459964553, ""scale"": 2.0}}",ma:3cd572a6b42a4e32b625f57c9ff482c5,phm:37ee80f6fff44af2b867a0a857895ed0
dev:d98b5885114f46de919e7fc9c538d3a0,Dv4,0.01,5.0,0.0,R2,"{""name"": ""norm"", ""params"": {""loc"": 100, ""scale"": 10.0}}",ma:3cd572a6b42a4e32b625f57c9ff482c5,phm:37ee80f6fff44af2b867a0a857895ed0
